sep=,
"Time","x_Acc","y_Acc","z_Acc"
2022-04-02 12:52:05,22.8 mg,33.8 mg,1026.4 mg
2022-04-02 12:52:06,17.9 mg,32.9 mg,1023.7 mg
2022-04-02 12:52:07,17.9 mg,32.7 mg,1028.2 mg
2022-04-02 12:52:08,17.7 mg,35.2 mg,1026.8 mg
2022-04-02 12:52:09,15.5 mg,31.9 mg,1024.4 mg
2022-04-02 12:52:10,16.6 mg,34.1 mg,1023.3 mg
2022-04-02 12:52:11,20.7 mg,34.4 mg,1025.6 mg
2022-04-02 12:52:12,18.4 mg,36.4 mg,1023.5 mg
2022-04-02 12:52:13,16.7 mg,34.3 mg,1020.3 mg
2022-04-02 12:52:14,17.9 mg,35.1 mg,1028.6 mg
2022-04-02 12:52:15,17.7 mg,32.4 mg,1024.9 mg
2022-04-02 12:52:16,15.7 mg,32.8 mg,1024.9 mg
2022-04-02 12:52:17,17.1 mg,35.0 mg,1025.7 mg
2022-04-02 12:52:18,16.4 mg,32.5 mg,1022.7 mg
2022-04-02 12:52:19,15.1 mg,32.8 mg,1025.7 mg
2022-04-02 12:52:20,16.8 mg,35.1 mg,1023.3 mg
2022-04-02 12:52:21,18.6 mg,35.6 mg,1022.8 mg
2022-04-02 12:52:22,18.5 mg,35.0 mg,1024.3 mg
2022-04-02 12:52:23,13.6 mg,34.3 mg,1025.5 mg
2022-04-02 12:52:24,19.3 mg,31.9 mg,1027.9 mg
2022-04-02 12:52:25,18.7 mg,33.2 mg,1026.4 mg
2022-04-02 12:52:26,20.4 mg,33.1 mg,1026.7 mg
2022-04-02 12:52:27,21.8 mg,33.6 mg,1024.2 mg
2022-04-02 12:52:28,16.4 mg,36.3 mg,1020.8 mg
2022-04-02 12:52:29,17.9 mg,34.9 mg,1023.2 mg
2022-04-02 12:52:30,18.2 mg,36.4 mg,1025.7 mg
2022-04-02 12:52:31,21.3 mg,33.4 mg,1026.8 mg
2022-04-02 12:52:32,17.3 mg,35.6 mg,1026.9 mg
2022-04-02 12:52:33,19.2 mg,31.4 mg,1026.8 mg
2022-04-02 12:52:34,16.8 mg,32.4 mg,1022.1 mg
2022-04-02 12:52:35,17.2 mg,34.9 mg,1023.6 mg
2022-04-02 12:52:36,16.7 mg,35.2 mg,1022.4 mg
2022-04-02 12:52:37,17.7 mg,37.1 mg,1022.0 mg
2022-04-02 12:52:38,18.5 mg,34.6 mg,1022.1 mg
2022-04-02 12:52:39,21.1 mg,34.5 mg,1026.4 mg
2022-04-02 12:52:40,17.9 mg,33.0 mg,1019.2 mg
2022-04-02 12:52:41,17.7 mg,33.6 mg,1024.2 mg
2022-04-02 12:52:42,20.5 mg,33.8 mg,1025.5 mg
2022-04-02 12:52:43,18.5 mg,32.9 mg,1024.7 mg
2022-04-02 12:52:44,18.7 mg,33.4 mg,1022.8 mg
2022-04-02 12:52:45,15.4 mg,35.7 mg,1021.4 mg
2022-04-02 12:52:46,19.1 mg,34.4 mg,1024.4 mg
2022-04-02 12:52:47,19.3 mg,33.1 mg,1025.2 mg
2022-04-02 12:52:48,19.3 mg,31.8 mg,1025.6 mg
2022-04-02 12:52:49,16.6 mg,33.4 mg,1022.4 mg
2022-04-02 12:52:50,18.5 mg,33.1 mg,1026.2 mg
2022-04-02 12:52:51,20.4 mg,35.1 mg,1025.9 mg
2022-04-02 12:52:52,19.3 mg,32.7 mg,1027.6 mg
2022-04-02 12:52:53,18.7 mg,34.1 mg,1027.6 mg
2022-04-02 12:52:54,20.3 mg,31.9 mg,1023.8 mg
2022-04-02 12:52:55,19.4 mg,35.0 mg,1023.7 mg
2022-04-02 12:52:56,18.7 mg,32.1 mg,1022.3 mg
2022-04-02 12:52:57,16.9 mg,34.1 mg,1022.6 mg
2022-04-02 12:52:58,16.4 mg,35.1 mg,1024.9 mg
2022-04-02 12:52:59,19.4 mg,35.6 mg,1024.2 mg
2022-04-02 12:53:00,20.4 mg,34.8 mg,1027.4 mg
2022-04-02 12:53:01,19.0 mg,32.7 mg,1025.3 mg
2022-04-02 12:53:02,17.8 mg,31.9 mg,1021.7 mg
2022-04-02 12:53:03,19.5 mg,35.1 mg,1023.0 mg
2022-04-02 12:53:04,21.0 mg,33.2 mg,1026.9 mg
2022-04-02 12:53:05,17.4 mg,32.7 mg,1028.2 mg
2022-04-02 12:53:06,15.6 mg,33.1 mg,1023.5 mg
2022-04-02 12:53:07,18.1 mg,31.2 mg,1020.2 mg
2022-04-02 12:53:08,17.8 mg,35.5 mg,1024.9 mg
2022-04-02 12:53:09,15.1 mg,33.6 mg,1025.7 mg
2022-04-02 12:53:10,16.5 mg,36.8 mg,1022.4 mg
2022-04-02 12:53:11,17.9 mg,35.4 mg,1024.3 mg
2022-04-02 12:53:12,19.5 mg,33.8 mg,1026.0 mg
2022-04-02 12:53:13,19.6 mg,34.4 mg,1026.6 mg
2022-04-02 12:53:14,17.9 mg,34.7 mg,1024.9 mg
2022-04-02 12:53:15,22.8 mg,34.6 mg,1023.7 mg
2022-04-02 12:53:16,19.0 mg,33.2 mg,1023.8 mg
2022-04-02 12:53:17,19.2 mg,35.5 mg,1022.8 mg
2022-04-02 12:53:18,19.1 mg,32.5 mg,1027.1 mg
2022-04-02 12:53:19,17.3 mg,35.8 mg,1023.7 mg
2022-04-02 12:53:20,16.6 mg,34.6 mg,1026.6 mg
2022-04-02 12:53:21,18.8 mg,34.2 mg,1026.1 mg
2022-04-02 12:53:22,18.7 mg,32.5 mg,1027.2 mg
2022-04-02 12:53:23,18.9 mg,32.9 mg,1030.5 mg
2022-04-02 12:53:24,18.0 mg,31.5 mg,1026.9 mg
2022-04-02 12:53:25,19.2 mg,31.1 mg,1025.2 mg
2022-04-02 12:53:26,17.0 mg,34.6 mg,1022.5 mg
2022-04-02 12:53:27,18.7 mg,33.5 mg,1022.9 mg
2022-04-02 12:53:28,19.8 mg,34.7 mg,1025.1 mg
2022-04-02 12:53:29,14.7 mg,35.3 mg,1025.1 mg
2022-04-02 12:53:30,15.2 mg,34.2 mg,1025.0 mg
2022-04-02 12:53:31,20.0 mg,34.6 mg,1026.5 mg
2022-04-02 12:53:32,19.6 mg,32.8 mg,1024.9 mg
2022-04-02 12:53:33,20.5 mg,34.6 mg,1025.2 mg
2022-04-02 12:53:34,20.2 mg,32.1 mg,1024.2 mg
2022-04-02 12:53:35,17.7 mg,31.4 mg,1028.6 mg
2022-04-02 12:53:36,20.3 mg,31.8 mg,1023.4 mg
2022-04-02 12:53:37,19.0 mg,34.3 mg,1020.4 mg
2022-04-02 12:53:38,20.0 mg,37.6 mg,1025.5 mg
2022-04-02 12:53:39,18.0 mg,34.6 mg,1020.5 mg
2022-04-02 12:53:40,20.3 mg,34.0 mg,1026.3 mg
2022-04-02 12:53:41,17.7 mg,31.9 mg,1024.1 mg
2022-04-02 12:53:42,18.0 mg,32.3 mg,1023.2 mg
2022-04-02 12:53:43,16.6 mg,31.8 mg,1022.9 mg
2022-04-02 12:53:44,15.7 mg,34.5 mg,1020.4 mg
2022-04-02 12:53:45,18.6 mg,36.0 mg,1026.4 mg
2022-04-02 12:53:46,17.9 mg,35.1 mg,1024.5 mg
2022-04-02 12:53:47,19.6 mg,32.6 mg,1026.5 mg
2022-04-02 12:53:48,18.3 mg,34.4 mg,1023.5 mg
2022-04-02 12:53:49,17.1 mg,34.3 mg,1023.0 mg
2022-04-02 12:53:50,16.3 mg,34.2 mg,1023.9 mg
2022-04-02 12:53:51,17.6 mg,34.6 mg,1023.9 mg
2022-04-02 12:53:52,18.7 mg,32.5 mg,1024.7 mg
2022-04-02 12:53:53,17.5 mg,32.1 mg,1021.3 mg
2022-04-02 12:53:54,18.6 mg,32.7 mg,1021.4 mg
2022-04-02 12:53:55,18.2 mg,34.4 mg,1027.8 mg
2022-04-02 12:53:56,16.9 mg,34.2 mg,1028.8 mg
2022-04-02 12:53:57,17.5 mg,31.3 mg,1024.2 mg
2022-04-02 12:53:58,16.9 mg,34.0 mg,1021.1 mg
2022-04-02 12:53:59,20.7 mg,33.7 mg,1023.2 mg
2022-04-02 12:54:00,18.4 mg,34.1 mg,1023.9 mg
2022-04-02 12:54:01,18.8 mg,35.1 mg,1022.3 mg
2022-04-02 12:54:02,17.1 mg,32.8 mg,1024.5 mg
2022-04-02 12:54:03,15.8 mg,35.5 mg,1024.6 mg
2022-04-02 12:54:04,18.1 mg,35.7 mg,1023.6 mg
2022-04-02 12:54:05,16.3 mg,33.6 mg,1025.0 mg
2022-04-02 12:54:06,18.2 mg,33.1 mg,1024.9 mg
2022-04-02 12:54:07,20.0 mg,34.8 mg,1025.6 mg
2022-04-02 12:54:08,19.5 mg,33.3 mg,1024.3 mg
2022-04-02 12:54:09,19.3 mg,32.8 mg,1023.0 mg
2022-04-02 12:54:10,19.4 mg,36.5 mg,1023.1 mg
2022-04-02 12:54:11,17.3 mg,35.1 mg,1026.1 mg
2022-04-02 12:54:12,18.8 mg,32.6 mg,1024.7 mg
2022-04-02 12:54:13,18.9 mg,34.0 mg,1023.7 mg
2022-04-02 12:54:14,16.8 mg,31.0 mg,1022.9 mg
2022-04-02 12:54:15,20.1 mg,32.8 mg,1025.4 mg
2022-04-02 12:54:16,16.6 mg,32.3 mg,1023.4 mg
2022-04-02 12:54:17,17.2 mg,31.0 mg,1026.6 mg
2022-04-02 12:54:18,19.4 mg,34.7 mg,1025.1 mg
2022-04-02 12:54:19,16.6 mg,34.2 mg,1022.9 mg
2022-04-02 12:54:20,12.7 mg,35.0 mg,1022.7 mg
2022-04-02 12:54:21,19.7 mg,34.0 mg,1024.2 mg
2022-04-02 12:54:22,21.5 mg,33.4 mg,1025.0 mg
2022-04-02 12:54:23,19.9 mg,31.2 mg,1029.0 mg
2022-04-02 12:54:24,17.8 mg,33.4 mg,1027.8 mg
2022-04-02 12:54:25,18.5 mg,33.6 mg,1023.8 mg
2022-04-02 12:54:26,19.4 mg,36.2 mg,1019.3 mg
2022-04-02 12:54:27,21.2 mg,37.9 mg,1024.5 mg
2022-04-02 12:54:28,17.3 mg,35.6 mg,1025.9 mg
2022-04-02 12:54:29,17.6 mg,32.5 mg,1023.1 mg
2022-04-02 12:54:30,20.0 mg,32.0 mg,1023.5 mg
2022-04-02 12:54:31,16.7 mg,31.6 mg,1023.5 mg
2022-04-02 12:54:32,18.5 mg,34.6 mg,1024.4 mg
2022-04-02 12:54:33,18.5 mg,34.6 mg,1024.1 mg
2022-04-02 12:54:34,17.3 mg,32.2 mg,1023.3 mg
2022-04-02 12:54:35,16.5 mg,35.0 mg,1024.9 mg
2022-04-02 12:54:36,19.2 mg,33.1 mg,1022.8 mg
2022-04-02 12:54:37,17.3 mg,38.2 mg,1024.0 mg
2022-04-02 12:54:38,18.3 mg,33.3 mg,1026.8 mg
2022-04-02 12:54:39,17.4 mg,31.4 mg,1026.9 mg
2022-04-02 12:54:40,20.3 mg,30.8 mg,1027.1 mg
2022-04-02 12:54:41,18.6 mg,33.7 mg,1025.0 mg
2022-04-02 12:54:42,17.1 mg,33.3 mg,1022.1 mg
2022-04-02 12:54:43,20.4 mg,32.9 mg,1024.2 mg
2022-04-02 12:54:44,20.3 mg,34.4 mg,1022.0 mg
2022-04-02 12:54:45,15.7 mg,34.6 mg,1022.7 mg
2022-04-02 12:54:46,17.5 mg,35.9 mg,1025.6 mg
2022-04-02 12:54:47,20.6 mg,32.0 mg,1026.0 mg
2022-04-02 12:54:48,17.8 mg,32.6 mg,1027.3 mg
2022-04-02 12:54:49,18.8 mg,34.1 mg,1023.6 mg
2022-04-02 12:54:50,17.5 mg,33.8 mg,1022.2 mg
2022-04-02 12:54:51,17.5 mg,33.2 mg,1024.1 mg
2022-04-02 12:54:52,17.3 mg,36.7 mg,1024.1 mg
2022-04-02 12:54:53,18.0 mg,36.8 mg,1028.0 mg
2022-04-02 12:54:54,19.5 mg,35.3 mg,1026.1 mg
2022-04-02 12:54:55,17.7 mg,35.8 mg,1025.2 mg
2022-04-02 12:54:56,17.9 mg,33.4 mg,1024.5 mg
2022-04-02 12:54:57,17.7 mg,35.0 mg,1025.4 mg
2022-04-02 12:54:58,19.9 mg,34.5 mg,1020.9 mg
2022-04-02 12:54:59,16.3 mg,33.0 mg,1022.0 mg
2022-04-02 12:55:00,18.0 mg,32.9 mg,1023.5 mg
2022-04-02 12:55:01,18.3 mg,35.3 mg,1025.5 mg
2022-04-02 12:55:02,19.6 mg,37.3 mg,1021.2 mg
2022-04-02 12:55:03,19.5 mg,32.9 mg,1021.2 mg
2022-04-02 12:55:04,20.2 mg,35.4 mg,1029.5 mg
2022-04-02 12:55:05,20.6 mg,34.1 mg,1025.6 mg
2022-04-02 12:55:06,21.3 mg,33.7 mg,1026.1 mg
2022-04-02 12:55:07,17.7 mg,34.0 mg,1024.0 mg
2022-04-02 12:55:08,19.3 mg,34.6 mg,1021.6 mg
2022-04-02 12:55:09,16.6 mg,35.8 mg,1023.1 mg
2022-04-02 12:55:10,16.3 mg,34.0 mg,1024.5 mg
2022-04-02 12:55:11,17.3 mg,37.2 mg,1022.9 mg
2022-04-02 12:55:12,16.0 mg,34.8 mg,1022.2 mg
2022-04-02 12:55:13,19.0 mg,36.0 mg,1023.9 mg
2022-04-02 12:55:14,19.0 mg,34.7 mg,1028.1 mg
2022-04-02 12:55:15,18.6 mg,32.6 mg,1026.0 mg
2022-04-02 12:55:16,18.6 mg,34.2 mg,1026.9 mg
2022-04-02 12:55:17,18.9 mg,35.5 mg,1024.7 mg
2022-04-02 12:55:18,18.3 mg,33.2 mg,1023.8 mg
2022-04-02 12:55:19,21.5 mg,34.0 mg,1025.2 mg
2022-04-02 12:55:20,17.4 mg,33.8 mg,1021.2 mg
2022-04-02 12:55:21,18.4 mg,34.5 mg,1023.7 mg
2022-04-02 12:55:22,19.0 mg,38.6 mg,1025.2 mg
2022-04-02 12:55:23,19.8 mg,33.7 mg,1023.9 mg
2022-04-02 12:55:24,17.9 mg,33.8 mg,1027.2 mg
2022-04-02 12:55:25,19.2 mg,33.6 mg,1022.6 mg
2022-04-02 12:55:26,17.7 mg,32.3 mg,1023.2 mg
2022-04-02 12:55:27,19.1 mg,34.8 mg,1025.2 mg
2022-04-02 12:55:28,17.3 mg,36.3 mg,1024.7 mg
2022-04-02 12:55:29,20.0 mg,36.5 mg,1023.0 mg
2022-04-02 12:55:30,17.7 mg,34.4 mg,1025.3 mg
2022-04-02 12:55:31,20.9 mg,32.5 mg,1023.2 mg
2022-04-02 12:55:32,18.5 mg,31.5 mg,1022.0 mg
2022-04-02 12:55:33,17.1 mg,35.7 mg,1022.9 mg
2022-04-02 12:55:34,18.3 mg,35.4 mg,1025.3 mg
2022-04-02 12:55:35,18.6 mg,34.8 mg,1021.7 mg
2022-04-02 12:55:36,18.4 mg,34.2 mg,1027.5 mg
2022-04-02 12:55:37,20.6 mg,35.0 mg,1025.8 mg
2022-04-02 12:55:38,20.5 mg,33.1 mg,1023.4 mg
2022-04-02 12:55:39,16.6 mg,34.0 mg,1024.7 mg
2022-04-02 12:55:40,19.9 mg,33.2 mg,1025.0 mg
2022-04-02 12:55:41,19.3 mg,34.6 mg,1025.3 mg
2022-04-02 12:55:42,16.0 mg,35.5 mg,1023.6 mg
2022-04-02 12:55:43,22.0 mg,34.4 mg,1024.7 mg
2022-04-02 12:55:44,15.1 mg,34.0 mg,1027.6 mg
