sep=,
"Time","x_Acc","y_Acc","z_Acc"
2022-04-04 09:19:12,20.8 mg,30.4 mg,1026.5 mg
2022-04-04 09:19:13,18.9 mg,32.7 mg,1021.5 mg
2022-04-04 09:19:14,15.4 mg,37.7 mg,1017.2 mg
2022-04-04 09:19:15,15.3 mg,37.2 mg,1020.7 mg
2022-04-04 09:19:16,17.5 mg,37.7 mg,1022.6 mg
2022-04-04 09:19:17,20.2 mg,37.0 mg,1024.2 mg
2022-04-04 09:19:18,20.8 mg,33.1 mg,1029.1 mg
2022-04-04 09:19:19,22.0 mg,31.3 mg,1026.0 mg
2022-04-04 09:19:20,22.3 mg,29.6 mg,1031.1 mg
2022-04-04 09:19:21,19.0 mg,31.6 mg,1025.8 mg
2022-04-04 09:19:22,18.0 mg,33.3 mg,1021.0 mg
2022-04-04 09:19:23,15.3 mg,34.7 mg,1017.8 mg
2022-04-04 09:19:24,16.3 mg,39.4 mg,1021.3 mg
2022-04-04 09:19:25,16.8 mg,38.9 mg,1023.0 mg
2022-04-04 09:19:26,17.4 mg,36.6 mg,1024.6 mg
2022-04-04 09:19:27,21.0 mg,29.1 mg,1029.9 mg
2022-04-04 09:19:28,19.2 mg,29.7 mg,1028.3 mg
2022-04-04 09:19:29,18.2 mg,33.9 mg,1018.2 mg
2022-04-04 09:19:30,14.2 mg,39.9 mg,1019.3 mg
2022-04-04 09:19:31,16.5 mg,40.1 mg,1020.5 mg
2022-04-04 09:19:32,21.2 mg,32.6 mg,1030.1 mg
2022-04-04 09:19:33,17.5 mg,30.0 mg,1024.0 mg
2022-04-04 09:19:34,16.7 mg,35.6 mg,1018.5 mg
2022-04-04 09:19:35,15.8 mg,37.4 mg,1021.1 mg
2022-04-04 09:19:36,22.4 mg,29.2 mg,1027.0 mg
2022-04-04 09:19:37,22.0 mg,32.6 mg,1025.9 mg
2022-04-04 09:19:38,21.2 mg,32.2 mg,1026.0 mg
2022-04-04 09:19:39,17.5 mg,34.1 mg,1020.9 mg
2022-04-04 09:19:40,19.1 mg,39.4 mg,1021.3 mg
2022-04-04 09:19:41,19.4 mg,32.9 mg,1028.6 mg
2022-04-04 09:19:42,20.5 mg,32.7 mg,1027.5 mg
2022-04-04 09:19:43,14.3 mg,36.7 mg,1021.1 mg
2022-04-04 09:19:44,13.3 mg,39.1 mg,1018.9 mg
2022-04-04 09:19:45,17.5 mg,36.3 mg,1026.1 mg
2022-04-04 09:19:46,17.9 mg,36.8 mg,1027.5 mg
2022-04-04 09:19:47,21.2 mg,30.8 mg,1030.2 mg
2022-04-04 09:19:48,21.2 mg,31.9 mg,1025.6 mg
2022-04-04 09:19:49,16.1 mg,33.5 mg,1018.4 mg
2022-04-04 09:19:50,18.5 mg,36.9 mg,1021.8 mg
2022-04-04 09:19:51,14.8 mg,38.9 mg,1017.9 mg
2022-04-04 09:19:52,13.3 mg,40.9 mg,1019.4 mg
2022-04-04 09:19:53,18.3 mg,35.5 mg,1024.6 mg
2022-04-04 09:19:54,23.4 mg,33.7 mg,1031.4 mg
2022-04-04 09:19:55,22.3 mg,31.3 mg,1029.6 mg
2022-04-04 09:19:56,23.0 mg,31.7 mg,1032.7 mg
2022-04-04 09:19:57,21.4 mg,29.8 mg,1024.0 mg
2022-04-04 09:19:58,19.4 mg,34.7 mg,1019.5 mg
2022-04-04 09:19:59,14.0 mg,39.6 mg,1021.4 mg
2022-04-04 09:20:00,18.9 mg,39.2 mg,1024.9 mg
2022-04-04 09:20:01,19.3 mg,31.0 mg,1031.4 mg
2022-04-04 09:20:02,18.5 mg,32.7 mg,1026.0 mg
2022-04-04 09:20:03,19.5 mg,37.6 mg,1022.8 mg
2022-04-04 09:20:04,14.3 mg,35.4 mg,1020.1 mg
2022-04-04 09:20:05,18.8 mg,33.9 mg,1025.9 mg
2022-04-04 09:20:06,20.2 mg,30.0 mg,1030.6 mg
2022-04-04 09:20:07,18.4 mg,34.0 mg,1021.9 mg
2022-04-04 09:20:08,16.0 mg,39.4 mg,1021.1 mg
2022-04-04 09:20:09,20.6 mg,35.8 mg,1027.0 mg
2022-04-04 09:20:10,23.9 mg,30.3 mg,1030.2 mg
2022-04-04 09:20:11,17.7 mg,32.3 mg,1023.2 mg
2022-04-04 09:20:12,19.6 mg,34.6 mg,1020.1 mg
2022-04-04 09:20:13,15.1 mg,38.2 mg,1019.6 mg
2022-04-04 09:20:14,14.2 mg,38.4 mg,1021.0 mg
2022-04-04 09:20:15,19.0 mg,35.9 mg,1026.7 mg
2022-04-04 09:20:16,20.8 mg,30.3 mg,1026.0 mg
2022-04-04 09:20:17,22.0 mg,28.8 mg,1025.9 mg
2022-04-04 09:20:18,23.0 mg,32.3 mg,1023.2 mg
2022-04-04 09:20:19,19.3 mg,35.3 mg,1022.3 mg
2022-04-04 09:20:20,16.0 mg,36.0 mg,1017.2 mg
2022-04-04 09:20:21,17.5 mg,36.1 mg,1022.4 mg
2022-04-04 09:20:22,20.9 mg,33.2 mg,1029.3 mg
2022-04-04 09:20:23,21.7 mg,27.5 mg,1030.3 mg
2022-04-04 09:20:24,20.7 mg,30.9 mg,1027.7 mg
2022-04-04 09:20:25,19.9 mg,33.9 mg,1023.6 mg
2022-04-04 09:20:26,14.9 mg,36.5 mg,1018.6 mg
2022-04-04 09:20:27,18.5 mg,41.1 mg,1020.0 mg
2022-04-04 09:20:28,19.2 mg,31.7 mg,1027.0 mg
2022-04-04 09:20:29,19.3 mg,31.9 mg,1026.8 mg
2022-04-04 09:20:30,14.3 mg,36.2 mg,1016.2 mg
2022-04-04 09:20:31,16.1 mg,41.5 mg,1015.1 mg
2022-04-04 09:20:32,18.0 mg,37.2 mg,1025.1 mg
2022-04-04 09:20:33,20.5 mg,33.7 mg,1026.7 mg
2022-04-04 09:20:34,20.5 mg,31.3 mg,1032.4 mg
2022-04-04 09:20:35,23.8 mg,31.8 mg,1030.1 mg
2022-04-04 09:20:36,19.6 mg,36.1 mg,1016.9 mg
2022-04-04 09:20:37,15.3 mg,40.7 mg,1017.9 mg
2022-04-04 09:20:38,19.8 mg,34.3 mg,1028.5 mg
2022-04-04 09:20:39,21.9 mg,31.5 mg,1028.9 mg
2022-04-04 09:20:40,15.7 mg,35.6 mg,1018.6 mg
2022-04-04 09:20:41,17.5 mg,37.9 mg,1022.1 mg
2022-04-04 09:20:42,21.3 mg,32.1 mg,1030.4 mg
2022-04-04 09:20:43,17.3 mg,33.2 mg,1021.0 mg
2022-04-04 09:20:44,17.3 mg,37.6 mg,1020.0 mg
2022-04-04 09:20:45,18.6 mg,40.0 mg,1022.5 mg
2022-04-04 09:20:46,18.1 mg,36.7 mg,1027.0 mg
2022-04-04 09:20:47,19.3 mg,33.4 mg,1027.9 mg
2022-04-04 09:20:48,24.4 mg,30.6 mg,1027.7 mg
2022-04-04 09:20:49,23.3 mg,31.9 mg,1024.9 mg
2022-04-04 09:20:50,15.7 mg,39.3 mg,1017.3 mg
2022-04-04 09:20:51,15.2 mg,38.1 mg,1023.6 mg
2022-04-04 09:20:52,17.9 mg,36.9 mg,1025.9 mg
2022-04-04 09:20:53,19.8 mg,37.2 mg,1025.6 mg
2022-04-04 09:20:54,20.8 mg,35.8 mg,1029.4 mg
2022-04-04 09:20:55,22.1 mg,33.2 mg,1031.1 mg
2022-04-04 09:20:56,21.0 mg,31.6 mg,1029.6 mg
2022-04-04 09:20:57,22.0 mg,30.9 mg,1032.7 mg
2022-04-04 09:20:58,25.6 mg,27.8 mg,1030.6 mg
2022-04-04 09:20:59,20.3 mg,32.7 mg,1024.9 mg
2022-04-04 09:21:00,20.3 mg,30.4 mg,1024.8 mg
2022-04-04 09:21:01,18.4 mg,31.6 mg,1023.0 mg
2022-04-04 09:21:02,18.3 mg,35.3 mg,1021.0 mg
2022-04-04 09:21:03,15.7 mg,38.2 mg,1019.2 mg
2022-04-04 09:21:04,21.2 mg,34.1 mg,1027.1 mg
2022-04-04 09:21:05,23.1 mg,31.0 mg,1033.1 mg
2022-04-04 09:21:06,20.2 mg,30.3 mg,1027.6 mg
2022-04-04 09:21:07,19.0 mg,35.5 mg,1016.9 mg
2022-04-04 09:21:08,17.1 mg,36.4 mg,1021.1 mg
2022-04-04 09:21:09,20.7 mg,36.0 mg,1028.6 mg
2022-04-04 09:21:10,20.8 mg,28.6 mg,1029.8 mg
2022-04-04 09:21:11,20.6 mg,31.8 mg,1023.9 mg
2022-04-04 09:21:12,19.8 mg,36.5 mg,1020.6 mg
2022-04-04 09:21:13,16.5 mg,39.8 mg,1022.6 mg
2022-04-04 09:21:14,22.3 mg,32.9 mg,1027.1 mg
2022-04-04 09:21:15,19.3 mg,34.0 mg,1020.5 mg
2022-04-04 09:21:16,18.1 mg,37.6 mg,1022.8 mg
2022-04-04 09:21:17,17.7 mg,38.8 mg,1026.3 mg
2022-04-04 09:21:18,20.2 mg,31.8 mg,1030.7 mg
2022-04-04 09:21:19,22.0 mg,31.4 mg,1024.9 mg
2022-04-04 09:21:20,20.6 mg,34.0 mg,1021.3 mg
2022-04-04 09:21:21,17.5 mg,37.6 mg,1018.0 mg
2022-04-04 09:21:22,15.0 mg,38.7 mg,1016.3 mg
2022-04-04 09:21:23,14.5 mg,37.2 mg,1021.9 mg
2022-04-04 09:21:24,21.7 mg,34.1 mg,1026.3 mg
2022-04-04 09:21:25,21.4 mg,31.5 mg,1028.8 mg
2022-04-04 09:21:26,17.9 mg,37.5 mg,1019.1 mg
2022-04-04 09:21:27,15.3 mg,39.7 mg,1016.2 mg
2022-04-04 09:21:28,20.0 mg,35.4 mg,1027.7 mg
2022-04-04 09:21:29,16.8 mg,33.2 mg,1020.6 mg
2022-04-04 09:21:30,13.9 mg,37.6 mg,1016.7 mg
2022-04-04 09:21:31,12.0 mg,38.3 mg,1017.0 mg
2022-04-04 09:21:32,20.1 mg,37.9 mg,1019.4 mg
2022-04-04 09:21:33,19.4 mg,36.4 mg,1028.3 mg
2022-04-04 09:21:34,20.7 mg,34.1 mg,1030.6 mg
2022-04-04 09:21:35,18.6 mg,30.2 mg,1031.2 mg
2022-04-04 09:21:36,20.7 mg,28.8 mg,1028.9 mg
2022-04-04 09:21:37,21.0 mg,30.3 mg,1027.8 mg
2022-04-04 09:21:38,18.7 mg,34.8 mg,1019.8 mg
2022-04-04 09:21:39,16.5 mg,38.9 mg,1019.1 mg
2022-04-04 09:21:40,15.1 mg,36.6 mg,1020.2 mg
2022-04-04 09:21:41,20.3 mg,36.4 mg,1025.1 mg
2022-04-04 09:21:42,20.0 mg,32.6 mg,1032.4 mg
2022-04-04 09:21:43,19.8 mg,30.0 mg,1026.7 mg
2022-04-04 09:21:44,23.3 mg,31.6 mg,1027.2 mg
2022-04-04 09:21:45,18.3 mg,32.4 mg,1022.2 mg
2022-04-04 09:21:46,17.4 mg,37.3 mg,1016.7 mg
2022-04-04 09:21:47,15.2 mg,40.3 mg,1020.7 mg
2022-04-04 09:21:48,16.9 mg,40.5 mg,1024.4 mg
2022-04-04 09:21:49,19.6 mg,35.4 mg,1024.9 mg
2022-04-04 09:21:50,23.1 mg,33.6 mg,1031.0 mg
2022-04-04 09:21:51,22.1 mg,32.2 mg,1028.6 mg
2022-04-04 09:21:52,16.6 mg,33.5 mg,1028.4 mg
2022-04-04 09:21:53,23.1 mg,28.7 mg,1031.3 mg
2022-04-04 09:21:54,20.8 mg,33.2 mg,1022.5 mg
2022-04-04 09:21:55,15.1 mg,38.8 mg,1020.1 mg
2022-04-04 09:21:56,15.9 mg,40.2 mg,1020.0 mg
2022-04-04 09:21:57,16.3 mg,42.0 mg,1022.8 mg
2022-04-04 09:21:58,20.0 mg,36.0 mg,1027.3 mg
2022-04-04 09:21:59,24.5 mg,30.0 mg,1027.6 mg
2022-04-04 09:22:00,22.1 mg,31.1 mg,1026.5 mg
2022-04-04 09:22:01,15.8 mg,35.1 mg,1020.3 mg
2022-04-04 09:22:02,16.5 mg,36.7 mg,1020.6 mg
2022-04-04 09:22:03,17.8 mg,32.9 mg,1028.8 mg
2022-04-04 09:22:04,18.6 mg,29.6 mg,1026.6 mg
2022-04-04 09:22:05,21.2 mg,31.3 mg,1023.5 mg
2022-04-04 09:22:06,19.3 mg,29.0 mg,1023.1 mg
2022-04-04 09:22:07,17.8 mg,37.1 mg,1018.2 mg
2022-04-04 09:22:08,17.4 mg,36.1 mg,1021.2 mg
2022-04-04 09:22:09,18.4 mg,34.6 mg,1027.8 mg
2022-04-04 09:22:10,21.2 mg,29.8 mg,1031.7 mg
2022-04-04 09:22:11,20.4 mg,30.9 mg,1023.4 mg
2022-04-04 09:22:12,17.8 mg,35.6 mg,1024.0 mg
2022-04-04 09:22:13,15.6 mg,40.2 mg,1020.4 mg
2022-04-04 09:22:14,18.1 mg,42.0 mg,1023.1 mg
2022-04-04 09:22:15,20.2 mg,32.6 mg,1032.1 mg
2022-04-04 09:22:16,20.0 mg,30.5 mg,1028.6 mg
2022-04-04 09:22:17,19.8 mg,31.8 mg,1021.3 mg
2022-04-04 09:22:18,17.4 mg,35.5 mg,1017.2 mg
2022-04-04 09:22:19,19.7 mg,39.2 mg,1024.7 mg
2022-04-04 09:22:20,19.7 mg,32.6 mg,1029.6 mg
2022-04-04 09:22:21,19.1 mg,31.2 mg,1026.5 mg
2022-04-04 09:22:22,18.7 mg,31.4 mg,1021.6 mg
2022-04-04 09:22:23,15.9 mg,37.0 mg,1021.0 mg
2022-04-04 09:22:24,20.4 mg,33.7 mg,1027.6 mg
2022-04-04 09:22:25,22.1 mg,33.2 mg,1030.7 mg
2022-04-04 09:22:26,17.8 mg,34.5 mg,1021.1 mg
2022-04-04 09:22:27,13.7 mg,36.0 mg,1013.8 mg
2022-04-04 09:22:28,18.5 mg,38.2 mg,1020.6 mg
2022-04-04 09:22:29,18.1 mg,38.9 mg,1021.4 mg
2022-04-04 09:22:30,17.1 mg,34.7 mg,1027.0 mg
2022-04-04 09:22:31,20.2 mg,34.6 mg,1027.2 mg
2022-04-04 09:22:32,22.6 mg,31.3 mg,1029.6 mg
2022-04-04 09:22:33,21.5 mg,33.5 mg,1025.3 mg
2022-04-04 09:22:34,16.7 mg,35.6 mg,1021.7 mg
2022-04-04 09:22:35,20.7 mg,36.6 mg,1025.7 mg
2022-04-04 09:22:36,21.9 mg,30.2 mg,1029.1 mg
2022-04-04 09:22:37,17.8 mg,32.3 mg,1021.1 mg
2022-04-04 09:22:38,17.6 mg,37.2 mg,1019.3 mg
2022-04-04 09:22:39,18.1 mg,39.2 mg,1020.3 mg
2022-04-04 09:22:40,21.0 mg,32.6 mg,1033.0 mg
2022-04-04 09:22:41,21.1 mg,31.9 mg,1027.8 mg
2022-04-04 09:22:42,17.9 mg,33.5 mg,1021.4 mg
2022-04-04 09:22:43,14.2 mg,40.0 mg,1021.2 mg
2022-04-04 09:22:44,18.3 mg,39.7 mg,1021.8 mg
2022-04-04 09:22:45,20.0 mg,36.4 mg,1028.3 mg
2022-04-04 09:22:46,23.1 mg,31.3 mg,1030.9 mg
2022-04-04 09:22:47,24.4 mg,30.2 mg,1026.9 mg
2022-04-04 09:22:48,20.0 mg,33.7 mg,1020.2 mg
2022-04-04 09:22:49,15.1 mg,34.2 mg,1020.2 mg
2022-04-04 09:22:50,16.5 mg,40.1 mg,1025.1 mg
2022-04-04 09:22:51,19.0 mg,34.0 mg,1027.6 mg
2022-04-04 09:22:52,22.5 mg,29.8 mg,1029.5 mg
2022-04-04 09:22:53,17.8 mg,32.3 mg,1023.6 mg
2022-04-04 09:22:54,15.2 mg,36.0 mg,1019.8 mg
2022-04-04 09:22:55,19.2 mg,39.1 mg,1023.5 mg
2022-04-04 09:22:56,19.5 mg,33.9 mg,1025.1 mg
2022-04-04 09:22:57,21.7 mg,29.9 mg,1028.3 mg
2022-04-04 09:22:58,20.0 mg,27.4 mg,1030.4 mg
2022-04-04 09:22:59,17.3 mg,34.7 mg,1020.7 mg
2022-04-04 09:23:00,16.9 mg,40.5 mg,1020.7 mg
2022-04-04 09:23:01,18.4 mg,35.5 mg,1026.6 mg
2022-04-04 09:23:02,22.8 mg,31.4 mg,1027.5 mg
2022-04-04 09:23:03,20.6 mg,33.0 mg,1023.8 mg
2022-04-04 09:23:04,17.9 mg,35.2 mg,1018.0 mg
2022-04-04 09:23:05,13.7 mg,41.2 mg,1018.8 mg
2022-04-04 09:23:06,18.1 mg,38.3 mg,1027.6 mg
2022-04-04 09:23:07,18.5 mg,33.4 mg,1025.5 mg
2022-04-04 09:23:08,21.5 mg,30.6 mg,1026.6 mg
2022-04-04 09:23:09,20.0 mg,32.0 mg,1021.8 mg
2022-04-04 09:23:10,19.2 mg,33.4 mg,1021.3 mg
2022-04-04 09:23:11,13.0 mg,39.0 mg,1018.4 mg
2022-04-04 09:23:12,19.6 mg,34.9 mg,1029.0 mg
2022-04-04 09:23:13,25.2 mg,31.2 mg,1029.2 mg
2022-04-04 09:23:14,17.5 mg,37.9 mg,1020.3 mg
2022-04-04 09:23:15,17.2 mg,33.3 mg,1027.4 mg
2022-04-04 09:23:16,21.6 mg,32.0 mg,1030.9 mg
2022-04-04 09:23:17,19.5 mg,32.3 mg,1022.5 mg
2022-04-04 09:23:18,16.0 mg,38.9 mg,1021.2 mg
2022-04-04 09:23:19,18.7 mg,34.6 mg,1028.3 mg
2022-04-04 09:23:20,19.4 mg,29.1 mg,1027.0 mg
2022-04-04 09:23:21,20.7 mg,31.5 mg,1022.3 mg
2022-04-04 09:23:22,16.0 mg,31.1 mg,1023.1 mg
2022-04-04 09:23:23,16.3 mg,35.7 mg,1018.9 mg
2022-04-04 09:23:24,18.3 mg,36.7 mg,1022.8 mg
2022-04-04 09:23:25,21.8 mg,33.9 mg,1029.7 mg
2022-04-04 09:23:26,17.3 mg,28.9 mg,1030.1 mg
2022-04-04 09:23:27,20.8 mg,29.6 mg,1023.3 mg
2022-04-04 09:23:28,17.7 mg,34.0 mg,1018.1 mg
2022-04-04 09:23:29,18.3 mg,35.6 mg,1019.4 mg
2022-04-04 09:23:30,16.0 mg,35.2 mg,1021.8 mg
2022-04-04 09:23:31,17.2 mg,39.6 mg,1022.1 mg
2022-04-04 09:23:32,16.4 mg,37.8 mg,1029.4 mg
2022-04-04 09:23:33,20.0 mg,35.9 mg,1026.8 mg
2022-04-04 09:23:34,20.8 mg,32.9 mg,1024.8 mg
2022-04-04 09:23:35,18.4 mg,35.0 mg,1021.6 mg
2022-04-04 09:23:36,16.7 mg,37.2 mg,1020.6 mg
2022-04-04 09:23:37,19.9 mg,31.4 mg,1028.6 mg
2022-04-04 09:23:38,22.0 mg,31.6 mg,1031.3 mg
2022-04-04 09:23:39,18.7 mg,30.0 mg,1027.1 mg
2022-04-04 09:23:40,23.9 mg,34.7 mg,1026.3 mg
2022-04-04 09:23:41,15.3 mg,39.1 mg,1018.8 mg
2022-04-04 09:23:42,15.7 mg,38.4 mg,1021.5 mg
2022-04-04 09:23:43,14.4 mg,37.2 mg,1026.0 mg
2022-04-04 09:23:44,18.5 mg,32.8 mg,1025.2 mg
2022-04-04 09:23:45,19.8 mg,32.6 mg,1025.7 mg
2022-04-04 09:23:46,17.5 mg,35.8 mg,1020.2 mg
2022-04-04 09:23:47,19.1 mg,37.1 mg,1019.8 mg
2022-04-04 09:23:48,17.2 mg,36.6 mg,1018.5 mg
2022-04-04 09:23:49,19.6 mg,37.0 mg,1017.2 mg
2022-04-04 09:23:50,18.1 mg,37.1 mg,1022.3 mg
2022-04-04 09:23:51,20.1 mg,34.3 mg,1028.0 mg
2022-04-04 09:23:52,21.1 mg,31.4 mg,1028.2 mg
2022-04-04 09:23:53,17.2 mg,32.1 mg,1023.4 mg
2022-04-04 09:23:54,18.6 mg,38.9 mg,1024.6 mg
2022-04-04 09:23:55,20.1 mg,32.3 mg,1030.9 mg
2022-04-04 09:23:56,20.5 mg,30.8 mg,1026.7 mg
2022-04-04 09:23:57,23.0 mg,25.5 mg,1026.5 mg
2022-04-04 09:23:58,21.9 mg,28.8 mg,1030.9 mg
2022-04-04 09:23:59,19.1 mg,33.0 mg,1025.0 mg
2022-04-04 09:24:00,18.4 mg,40.8 mg,1019.8 mg
2022-04-04 09:24:01,19.1 mg,36.2 mg,1029.9 mg
2022-04-04 09:24:02,19.5 mg,33.6 mg,1029.5 mg
2022-04-04 09:24:03,23.3 mg,31.0 mg,1029.9 mg
2022-04-04 09:24:04,21.9 mg,29.2 mg,1025.8 mg
2022-04-04 09:24:05,16.6 mg,35.6 mg,1019.0 mg
2022-04-04 09:24:06,18.9 mg,37.2 mg,1018.4 mg
2022-04-04 09:24:07,15.0 mg,39.9 mg,1018.8 mg
2022-04-04 09:24:08,19.0 mg,34.3 mg,1028.7 mg
2022-04-04 09:24:09,22.1 mg,29.7 mg,1031.6 mg
2022-04-04 09:24:10,18.8 mg,30.0 mg,1026.3 mg
2022-04-04 09:24:11,18.5 mg,37.0 mg,1019.8 mg
2022-04-04 09:24:12,19.3 mg,36.5 mg,1026.6 mg
2022-04-04 09:24:13,23.3 mg,29.1 mg,1030.4 mg
2022-04-04 09:24:14,14.5 mg,33.0 mg,1023.0 mg
2022-04-04 09:24:15,13.9 mg,36.9 mg,1016.9 mg
2022-04-04 09:24:16,15.2 mg,37.4 mg,1017.4 mg
2022-04-04 09:24:17,16.9 mg,37.9 mg,1022.2 mg
2022-04-04 09:24:18,21.0 mg,33.3 mg,1030.2 mg
2022-04-04 09:24:19,18.8 mg,29.2 mg,1027.3 mg
2022-04-04 09:24:20,17.0 mg,34.4 mg,1022.0 mg
2022-04-04 09:24:21,16.6 mg,35.3 mg,1018.1 mg
2022-04-04 09:24:22,13.4 mg,39.7 mg,1021.8 mg
2022-04-04 09:24:23,19.9 mg,30.7 mg,1030.6 mg
2022-04-04 09:24:24,19.8 mg,31.6 mg,1025.5 mg
2022-04-04 09:24:25,18.6 mg,34.5 mg,1023.1 mg
2022-04-04 09:24:26,13.3 mg,38.9 mg,1019.7 mg
2022-04-04 09:24:27,19.6 mg,37.9 mg,1024.2 mg
2022-04-04 09:24:28,19.4 mg,38.3 mg,1027.7 mg
2022-04-04 09:24:29,18.6 mg,38.2 mg,1023.6 mg
2022-04-04 09:24:30,16.1 mg,39.3 mg,1029.7 mg
2022-04-04 09:24:31,19.0 mg,33.1 mg,1029.3 mg
2022-04-04 09:24:32,21.0 mg,31.3 mg,1027.4 mg
2022-04-04 09:24:33,18.9 mg,37.1 mg,1018.8 mg
2022-04-04 09:24:34,15.9 mg,38.3 mg,1020.5 mg
2022-04-04 09:24:35,16.2 mg,38.2 mg,1026.8 mg
2022-04-04 09:24:36,20.3 mg,30.9 mg,1030.3 mg
2022-04-04 09:24:37,21.6 mg,34.7 mg,1025.3 mg
2022-04-04 09:24:38,16.7 mg,35.8 mg,1017.3 mg
2022-04-04 09:24:39,16.3 mg,36.8 mg,1026.0 mg
2022-04-04 09:24:40,20.1 mg,32.5 mg,1028.4 mg
2022-04-04 09:24:41,21.2 mg,28.8 mg,1028.0 mg
2022-04-04 09:24:42,20.3 mg,33.2 mg,1024.1 mg
2022-04-04 09:24:43,16.3 mg,33.3 mg,1021.1 mg
2022-04-04 09:24:44,16.7 mg,41.5 mg,1017.1 mg
2022-04-04 09:24:45,19.6 mg,38.5 mg,1025.9 mg
2022-04-04 09:24:46,19.7 mg,34.8 mg,1029.4 mg
2022-04-04 09:24:47,20.8 mg,33.1 mg,1027.4 mg
2022-04-04 09:24:48,18.2 mg,34.0 mg,1023.6 mg
2022-04-04 09:24:49,18.0 mg,40.0 mg,1020.2 mg
2022-04-04 09:24:50,15.3 mg,38.0 mg,1020.4 mg
2022-04-04 09:24:51,20.4 mg,33.5 mg,1028.4 mg
2022-04-04 09:24:52,22.9 mg,30.3 mg,1029.7 mg
2022-04-04 09:24:53,20.9 mg,30.7 mg,1027.6 mg
2022-04-04 09:24:54,21.4 mg,30.0 mg,1026.9 mg
2022-04-04 09:24:55,18.3 mg,33.3 mg,1021.5 mg
2022-04-04 09:24:56,20.4 mg,34.2 mg,1023.7 mg
